iter	Passed	Remaining
1465	80765	29419
1466	80827	29366
1467	80877	29309
1468	80936	29256
1469	80987	29199
1470	81041	29144
1471	81087	29085
1472	81138	29029
1473	81191	28973
1474	81243	28917
1475	81295	28861
1476	81347	28804
1477	81399	28748
1478	81456	28694
1479	81514	28640
1480	81563	28583
1481	81624	28530
1482	81677	28474
1483	81754	28426
1484	81806	28370
1485	81859	28314
1486	81913	28259
1487	81966	28203
1488	82019	28147
1489	82083	28095
1490	82134	28039
1491	82203	27988
1492	82330	27958
1493	82375	27899
1494	82422	27841
1495	82474	27785
1496	82532	27731
1497	82588	27676
1498	82642	27620
1499	82696	27565
1500	82788	27522
1501	82838	27465
1502	82892	27410
1503	82946	27354
1504	83003	27300
1505	83061	27245
1506	83122	27192
1507	83169	27135
1508	83225	27079
1509	83277	27023
1510	83327	26967
1511	83381	26911
1512	83434	26855
1513	83496	26802
1514	83546	26745
1515	83598	26689
1516	83657	26635
1517	83708	26579
1518	83790	26532
1519	83855	26480
1520	83908	26424
1521	83960	26368
1522	84014	26313
1523	84064	26256
1524	84116	26200
1525	84175	26146
1526	84229	26090
1527	84283	26035
1528	84335	25979
1529	84385	25922
1530	84435	25865
1531	84491	25810
1532	84543	25754
1533	84594	25698
1534	84656	25644
1535	84706	25588
1536	84759	25532
1537	84927	25511
1538	84979	25455
1539	85033	25399
1540	85087	25344
1541	85146	25290
1542	85207	25236
1543	85257	25179
1544	85308	25123
1545	85363	25067
1546	85412	25010
1547	85461	24953
1548	85519	24899
1549	85575	24844
1550	85626	24788
1551	85679	24732
1552	85737	24677
1553	85790	24621
1554	85849	24567
1555	85936	24521
1556	85981	24463
1557	86033	24407
1558	86085	24351
1559	86136	24295
1560	86188	24238
1561	86251	24185
1562	86306	24130
1563	86362	24075
1564	86415	24019
1565	86467	23963
1566	86525	23909
1567	86576	23852
1568	86624	23795
1569	86681	23740
1570	86732	23684
1571	86789	23629
1572	86852	23576
1573	86900	23519
1574	86999	23475
1575	87044	23418
1576	87098	23362
1577	87149	23306
1578	87209	23252
1579	87259	23195
1580	87316	23140
1581	87377	23087
1582	87426	23030
1583	87479	22974
1584	87528	22917
1585	87589	22863
1586	87645	22808
1587	87706	22755
1588	87754	22698
1589	87807	22642
1590	87871	22589
1591	87918	22531
1592	88014	22487
1593	88079	22434
1594	88133	22378
1595	88187	22323
1596	88251	22270
1597	88300	22213
1598	88360	22159
1599	88416	22104
1600	88471	22048
1601	88529	21994
1602	88579	21937
1603	88639	21883
1604	88679	21824
1605	88727	21767
1606	88780	21711
1607	88837	21656
1608	88894	21602
1609	88951	21547
1610	89000	21490
1611	89125	21452
1612	89174	21395
1613	89225	21338
1614	89284	21284
1615	89334	21227
1616	89385	21171
1617	89441	21116
1618	89493	21060
1619	89546	21004
1620	89599	20948
1621	89653	20893
1622	89710	20838
1623	89764	20782
1624	89819	20727
1625	89870	20671
1626	89932	20617
1627	89981	20560
1628	90041	20506
1629	90116	20455
1630	90170	20400
1631	90227	20345
1632	90284	20290
1633	90330	20233
1634	90383	20177
1635	90438	20122
1636	90487	20065
1637	90545	20010
1638	90601	19955
1639	90653	19899
1640	90711	19844
1641	90766	19789
1642	90826	19735
1643	90874	19678
1644	90929	19623
1645	90986	19568
1646	91042	19513
1647	91103	19458
1648	91218	19416
1649	91267	19359
1650	91319	19303
1651	91377	19249
1652	91435	19194
1653	91488	19138
1654	91543	19083
1655	91596	19027
1656	91653	18972
1657	91710	18917
1658	91767	18862
1659	91823	18807
1660	91876	18751
